商品ID,商品名,カテゴリ,在庫数,理論在庫,単価,倉庫,最終更新日,担当者
INV001,ノートPC A型,電子機器,15,15,120000,東京倉庫,2024-03-15,鈴木
INV002,デスクトップPC B型,電子機器,8,10,150000,東京倉庫,2024-03-15,鈴木
INV003,モニター C型,電子機器,23,20,35000,東京倉庫,2024-03-15,鈴木
INV004,キーボード D型,周辺機器,45,50,5000,東京倉庫,2024-03-15,田中
INV005,マウス E型,周辺機器,38,40,3000,東京倉庫,2024-03-15,田中
INV006,ハードディスク F型,ストレージ,12,15,18000,大阪倉庫,2024-03-10,佐藤
INV007,SSD G型,ストレージ,22,20,25000,大阪倉庫,2024-03-10,佐藤
INV008,メモリ H型,部品,30,30,12000,大阪倉庫,2024-03-10,佐藤
INV009,プリンター I型,電子機器,5,5,80000,大阪倉庫,2024-03-10,山田
INV010,トナー J型,消耗品,15,25,15000,大阪倉庫,2024-03-10,山田
INV011,ノートPC K型,電子機器,0,5,130000,東京倉庫,2024-03-15,鈴木
INV012,タブレット L型,電子機器,18,15,85000,東京倉庫,2024-03-15,鈴木
INV013,スマートフォン M型,電子機器,7,10,95000,大阪倉庫,2024-03-10,佐藤
INV014,ケーブル N型,周辺機器,95,90,2000,大阪倉庫,2024-03-10,佐藤
INV015,ヘッドフォン O型,周辺機器,25,25,9000,東京倉庫,2024-03-15,田中
